stn,year,mo,da,temp,max,min,prcp,name,Year/Month/Day
725300,1960,1,1,30.7,35.4,27.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-01
725300,1960,1,3,27.3,33.1,13.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-03
725300,1960,1,8,32.4,37.9,25.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-08
725300,1960,1,18,31.0,33.1,25.3,0.16,CHICAGO O'HARE INTERNATIONAL,1960-01-18
725300,1960,1,19,20.1,28.0,11.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-19
725300,1960,1,30,31.5,33.4,28.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-30
725300,1960,2,1,33.0,35.1,28.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-01
725300,1960,2,7,29.3,32.0,26.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-07
725300,1960,2,11,20.4,28.0,14.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-11
725300,1960,2,18,24.2,26.4,17.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-18
725300,1960,2,19,15.3,21.0,7.3,0.02,CHICAGO O'HARE INTERNATIONAL,1960-02-19
725300,1960,2,20,14.1,29.3,4.3,0.04,CHICAGO O'HARE INTERNATIONAL,1960-02-20
725300,1960,2,21,26.9,31.3,20.3,0.35,CHICAGO O'HARE INTERNATIONAL,1960-02-21
725300,1960,2,26,24.7,28.0,21.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-26
725300,1960,2,28,20.6,26.4,16.3,0.04,CHICAGO O'HARE INTERNATIONAL,1960-02-28
725300,1960,2,29,13.7,21.0,5.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-02-29
725300,1960,3,3,22.2,25.0,8.4,0.28,CHICAGO O'HARE INTERNATIONAL,1960-03-03
725300,1960,3,17,28.0,30.9,23.4,0.08,CHICAGO O'HARE INTERNATIONAL,1960-03-17
725300,1960,3,21,21.2,35.4,10.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-03-21
725300,1960,3,22,25.4,35.4,17.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-03-22
725300,1960,3,24,24.5,28.0,13.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-03-24
725300,1960,4,2,52.0,60.4,40.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-04-02
725300,1960,4,8,39.1,48.9,28.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-04-08
725300,1960,5,11,41.3,46.4,37.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-05-11
725300,1960,5,12,45.0,59.4,34.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-05-12
725300,1960,5,27,62.5,72.0,54.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-05-27
725300,1960,6,6,62.0,71.1,52.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-06-06
725300,1960,6,26,72.9,84.4,63.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-06-26
725300,1960,6,27,74.3,83.3,64.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-06-27
725300,1960,7,9,76.0,84.4,63.3,0.24,CHICAGO O'HARE INTERNATIONAL,1960-07-09
725300,1960,7,17,74.7,85.3,62.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-07-17
725300,1960,7,20,69.1,82.9,59.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-07-20
725300,1960,7,22,81.4,92.3,71.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-07-22
725300,1960,7,23,74.9,88.0,64.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-07-23
725300,1960,7,24,72.4,86.4,59.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-07-24
725300,1960,7,25,80.4,92.3,72.3,0.08,CHICAGO O'HARE INTERNATIONAL,1960-07-25
725300,1960,8,5,69.3,80.4,59.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-08-05
725300,1960,8,13,72.8,83.3,61.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-08-13
725300,1960,8,26,77.7,88.3,66.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-08-26
725300,1960,8,27,75.0,90.3,61.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-08-27
725300,1960,8,29,77.5,84.9,70.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-08-29
725300,1960,9,4,80.9,93.4,72.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-09-04
725300,1960,9,8,83.7,93.4,69.4,0.31,CHICAGO O'HARE INTERNATIONAL,1960-09-08
725300,1960,9,9,70.2,87.1,58.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-09-09
725300,1960,9,27,63.1,70.3,52.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-09-27
725300,1960,10,6,61.8,73.9,47.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-10-06
725300,1960,10,20,36.8,45.3,29.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-10-20
725300,1960,10,23,53.1,66.0,36.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-10-23
725300,1960,11,14,55.7,69.4,48.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-11-14
725300,1960,11,20,43.2,48.4,34.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-11-20
725300,1960,11,25,42.3,56.3,34.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-11-25
725300,1960,11,29,26.8,37.0,21.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-11-29
725300,1960,12,1,21.8,34.3,12.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-01
725300,1960,12,7,25.8,35.4,19.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-07
725300,1960,12,8,25.7,30.9,14.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-08
725300,1960,12,11,29.4,35.1,21.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-11
725300,1960,12,15,32.9,37.4,17.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-15
725300,1960,12,17,22.8,29.3,11.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-17
725300,1960,12,19,19.1,27.0,5.4,0.04,CHICAGO O'HARE INTERNATIONAL,1960-12-19
725300,1960,12,20,19.5,22.3,6.4,0.24,CHICAGO O'HARE INTERNATIONAL,1960-12-20
725300,1960,12,21,4.8,14.0,-6.7,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-21
725300,1960,12,22,0.5,4.3,-10.7,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-22
725300,1960,12,27,19.2,27.3,9.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-27
725300,1960,12,29,26.6,32.4,23.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-12-29
725300,1960,1,2,36.6,43.3,31.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-02
725300,1960,1,10,37.3,39.0,29.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-01-10
725300,1960,1,14,37.5,39.0,34.3,0.51,CHICAGO O'HARE INTERNATIONAL,1960-01-14
725300,1960,1,15,31.7,37.0,21.4,0.16,CHICAGO O'HARE INTERNATIONAL,1960-01-15
725300,1960,2,5,36.7,39.4,33.4,0.71,CHICAGO O'HARE INTERNATIONAL,1960-02-05
725300,1960,2,10,30.3,32.4,20.3,0.55,CHICAGO O'HARE INTERNATIONAL,1960-02-10
725300,1960,2,17,29.5,34.3,22.3,0.01,CHICAGO O'HARE INTERNATIONAL,1960-02-17
725300,1960,3,20,27.7,34.3,20.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-03-20
725300,1960,3,30,54.8,66.9,33.4,0.2,CHICAGO O'HARE INTERNATIONAL,1960-03-30
725300,1960,4,3,41.1,50.0,37.4,0.0,CHICAGO O'HARE INTERNATIONAL,1960-04-03
725300,1960,4,14,62.3,72.0,54.3,0.2,CHICAGO O'HARE INTERNATIONAL,1960-04-14
725300,1960,4,16,63.7,72.3,51.4,1.57,CHICAGO O'HARE INTERNATIONAL,1960-04-16
725300,1960,4,17,46.8,68.0,35.4,0.35,CHICAGO O'HARE INTERNATIONAL,1960-04-17
725300,1960,4,30,53.8,60.4,41.4,0.47,CHICAGO O'HARE INTERNATIONAL,1960-04-30
725300,1960,5,6,63.0,68.4,51.4,0.31,CHICAGO O'HARE INTERNATIONAL,1960-05-06
725300,1960,5,7,46.6,63.0,36.3,0.0,CHICAGO O'HARE INTERNATIONAL,1960-05-07
725300,1960,5,17,60.3,66.0,50.4,0.16,CHICAGO O'HARE INTERNATIONAL,1960-05-17
725300,1960,5,20,63.9,71.4,57.4,0.02,CHICAGO O'HARE INTERNATIONAL,1960-05-20
725300,1960,5,30,65.8,73.4,60.4,0.01,CHICAGO O'HARE INTERNATIONAL,1960-05-30
725300,1960,6,4,75.2,86.4,63.3,0.28,CHICAGO O'HARE INTERNATIONAL,1960-06-04
725300,1960,6,5,66.5,73.4,57.4,0.02,CHICAGO O'HARE INTERNATIONAL,1960-06-05
