CommonName,year,season,temp,max,min,prcp,sumPrcp
Boston,1960,Fall,54.95604395604395,62.65274725274727,49.017582417582425,0.0,0.0
Boston,1960,Spring,46.15434782608695,54.28913043478259,40.146739130434774,0.0,0.0
Boston,1960,Summer,70.89239130434783,80.12608695652172,63.56847826086957,0.0,0.0
Boston,1960,Winter,32.58000000000001,39.39000000000001,27.475,0.0,0.0
Boston,1961,Fall,56.55824175824175,64.56703296703297,50.5978021978022,0.0,0.0
Boston,1961,Spring,45.54565217391304,53.94239130434782,39.48586956521739,0.0,0.0
Boston,1961,Summer,70.56847826086955,79.86847826086958,63.20543478260871,0.0,0.0
Boston,1961,Winter,28.491111111111103,36.75666666666666,22.36111111111111,0.0,0.0
Boston,1962,Fall,52.528571428571404,60.14065934065933,46.38241758241758,0.0,0.0
Boston,1962,Spring,47.57826086956521,56.24456521739133,40.917391304347824,0.0,0.0
Boston,1962,Summer,68.7586956521739,77.56413043478257,62.00760869565218,0.0,0.0
Boston,1962,Winter,29.363333333333347,36.489999999999995,23.473333333333322,0.0,0.0
Boston,1963,Fall,55.70989010989011,64.64175824175825,49.04175824175825,0.0,0.0
Boston,1963,Spring,48.34347826086956,57.953260869565234,41.23695652173913,0.0,0.0
Boston,1963,Summer,70.81630434782612,80.30217391304348,63.23152173913043,0.0,0.0
Boston,1963,Winter,28.359999999999996,36.43777777777778,21.896666666666665,0.0,0.0
Boston,1964,Fall,52.71098901098901,60.712087912087945,46.41978021978021,0.0,0.0
Boston,1964,Spring,47.8804347826087,56.50652173913044,41.27934782608696,0.0,0.0
Boston,1964,Summer,67.6554347826087,76.34130434782607,60.69782608695653,0.0,0.0
Boston,1964,Winter,28.87252747252747,35.532967032967036,23.69010989010989,0.0,0.0
Boston,1965,Fall,52.102197802197765,59.70659340659342,46.819780219780206,0.0,0.0
Boston,1965,Spring,45.689130434782605,54.352173913043494,39.68478260869565,0.0,0.0
Boston,1965,Summer,69.23043478260871,78.09130434782608,61.80543478260869,0.0,0.0
Boston,1965,Winter,28.72222222222222,35.50222222222223,23.183333333333337,0.0,0.0
Boston,1966,Fall,54.43626373626373,61.332967032967034,49.16593406593407,0.0,0.0
Boston,1966,Spring,47.043478260869556,53.96739130434781,41.699999999999996,0.0,0.0
Boston,1966,Summer,71.30326086956521,79.50326086956525,64.62065217391307,0.0,0.0
Boston,1966,Winter,32.021111111111125,149.12555555555554,137.9633333333333,0.0,0.0
Boston,1967,Fall,51.920879120879114,58.85494505494505,46.50989010989011,0.0,0.0
Boston,1967,Spring,42.5586956521739,49.94239130434784,37.20326086956521,0.0,0.0
Boston,1967,Summer,69.78804347826085,76.98586956521739,64.12065217391304,0.0,0.0
Boston,1967,Winter,32.03888888888889,38.67555555555555,27.256666666666675,0.0,0.0
Boston,1968,Fall,55.09222222222221,61.10888888888892,50.62444444444444,0.0,0.0
Boston,1968,Spring,47.80978260869565,55.06304347826087,42.575,0.0,0.0
Boston,1968,Summer,69.83478260869566,77.7695652173913,64.02826086956522,0.0,0.0
Boston,1968,Winter,29.10439560439562,35.85824175824176,23.656043956043955,0.0,0.0
Boston,1969,Fall,54.30659340659339,60.89560439560441,48.74945054945055,0.0,0.0
Boston,1969,Spring,47.55543478260873,56.01739130434784,41.29673913043479,0.0,0.0
Boston,1969,Summer,70.94891304347826,79.04565217391304,64.7336956521739,0.0,0.0
Boston,1969,Winter,30.020000000000003,35.47555555555555,25.695555555555565,0.0,0.0
Chicago,1960,Fall,54.69780219780221,64.63846153846153,46.02527472527473,0.03945054945054945,3.5900000000000003
Chicago,1960,Spring,44.456521739130444,54.76630434782611,35.79673913043478,0.07347826086956523,6.760000000000002
Chicago,1960,Summer,70.88369565217393,81.38695652173911,61.52391304347826,0.12902173913043474,11.869999999999997
Chicago,1960,Winter,26.101666666666677,32.20333333333334,20.176666666666673,0.09733333333333331,5.839999999999999
Chicago,1961,Fall,52.82527472527471,63.78021978021977,43.42857142857143,0.18307692307692308,16.66
Chicago,1961,Spring,45.443478260869554,56.669565217391344,35.40760869565217,0.0929347826086956,8.549999999999995
Chicago,1961,Summer,69.96630434782605,81.975,58.698913043478264,0.09978260869565217,9.18
Chicago,1961,Winter,25.28777777777778,34.778888888888936,16.01111111111111,0.018111111111111113,1.6300000000000001
Chicago,1962,Fall,52.645054945054945,64.36373626373627,41.195604395604406,0.03461538461538461,3.1499999999999995
Chicago,1962,Spring,48.9282608695652,59.0130434782609,40.49999999999999,0.06423913043478262,5.910000000000001
Chicago,1962,Summer,69.82282608695655,81.77717391304348,58.44782608695654,0.09826086956521739,9.04
Chicago,1962,Winter,22.507777777777775,30.508888888888922,14.829999999999993,0.056333333333333326,5.069999999999999
Chicago,1963,Fall,56.10659340659341,69.01098901098898,43.741758241758255,0.05725274725274726,5.210000000000001
Chicago,1963,Spring,49.26847826086957,61.15434782608698,38.466304347826096,0.09989130434782609,9.19
Chicago,1963,Summer,70.54239130434782,82.99782608695651,58.26086956521741,0.09956521739130433,9.159999999999998
Chicago,1963,Winter,18.082222222222217,27.401111111111135,8.097777777777774,0.01566666666666667,1.4100000000000001
Chicago,1964,Fall,51.16813186813187,64.34285714285714,38.85604395604396,0.07659340659340659,6.97
Chicago,1964,Spring,49.09565217391305,60.75760869565223,38.62608695652174,0.11902173913043478,10.95
Chicago,1964,Summer,70.2891304347826,82.83695652173913,57.46521739130438,0.09956521739130429,9.159999999999995
Chicago,1964,Winter,23.09230769230769,33.00109890109893,13.113186813186813,0.02197802197802198,2.0
