stn,year,mo,da,temp,max,min,prcp,name,Year/Month/Day
722950,2010,12,23,55.8,63.0,52.0,1.21,LOS ANGELES INTERNATIONAL AIR,2010-12-23
722950,2010,12,17,55.0,61.0,53.1,0.12,LOS ANGELES INTERNATIONAL AIR,2010-12-17
722950,2010,12,22,58.2,62.1,54.0,0.67,LOS ANGELES INTERNATIONAL AIR,2010-12-22
722950,2010,5,19,59.0,64.9,55.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-05-19
722950,2010,2,17,63.6,80.1,54.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-02-17
722950,2010,2,23,58.2,70.0,46.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-02-23
722950,2010,3,5,54.9,64.0,46.9,0.01,LOS ANGELES INTERNATIONAL AIR,2010-03-05
722950,2010,3,13,55.9,64.9,48.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-03-13
722950,2010,3,19,59.0,72.0,53.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-03-19
722950,2010,3,25,57.0,69.1,53.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-03-25
722950,2010,4,15,58.8,64.9,52.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-04-15
722950,2010,4,27,57.0,61.0,53.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-04-27
722950,2010,5,1,60.2,68.0,52.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-05-01
722950,2010,5,7,62.9,70.0,55.9,0.0,LOS ANGELES INTERNATIONAL AIR,2010-05-07
722950,2010,5,9,60.2,69.1,55.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-05-09
722950,2010,5,27,60.1,66.0,55.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-05-27
722950,2010,6,3,61.7,68.0,57.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-03
722950,2010,6,4,62.1,68.0,57.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-04
722950,2010,6,8,62.9,69.1,60.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-08
722950,2010,6,9,63.3,69.1,60.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-09
722950,2010,7,4,64.6,72.0,61.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-07-04
722950,2010,7,10,63.1,69.1,60.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-07-10
722950,2010,7,23,64.3,70.0,61.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-07-23
722950,2010,8,9,63.3,70.0,59.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-08-09
722950,2010,8,20,65.9,75.9,62.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-08-20
722950,2010,9,8,65.5,69.1,63.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-09-08
722950,2010,10,3,65.9,80.1,63.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-10-03
722950,2010,11,6,68.4,87.1,62.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-11-06
722950,2010,11,14,65.8,78.1,52.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-11-14
722950,2010,11,15,64.7,78.1,54.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-11-15
722950,2010,11,21,56.5,63.0,51.1,0.03,LOS ANGELES INTERNATIONAL AIR,2010-11-21
722950,2010,12,16,57.1,61.0,55.0,0.01,LOS ANGELES INTERNATIONAL AIR,2010-12-16
722950,2010,12,21,55.8,62.1,53.1,1.29,LOS ANGELES INTERNATIONAL AIR,2010-12-21
722950,2010,1,1,58.3,69.1,46.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-01-01
722950,2010,1,2,63.8,75.9,50.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-01-02
722950,2010,1,6,60.2,75.9,51.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-01-06
722950,2010,1,22,52.4,57.9,48.0,0.74,LOS ANGELES INTERNATIONAL AIR,2010-01-22
722950,2010,2,14,61.0,77.0,50.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-02-14
722950,2010,2,20,55.5,60.1,51.1,0.16,LOS ANGELES INTERNATIONAL AIR,2010-02-20
722950,2010,3,9,54.6,61.0,48.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-03-09
722950,2010,3,20,60.5,75.0,53.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-03-20
722950,2010,4,5,56.5,62.1,52.0,0.08,LOS ANGELES INTERNATIONAL AIR,2010-04-05
722950,2010,4,9,61.8,79.0,55.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-04-09
722950,2010,4,12,57.1,63.0,52.0,0.77,LOS ANGELES INTERNATIONAL AIR,2010-04-12
722950,2010,4,25,57.7,64.0,53.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-04-25
722950,2010,6,18,64.6,70.0,60.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-18
722950,2010,6,20,64.5,70.0,57.9,0.0,LOS ANGELES INTERNATIONAL AIR,2010-06-20
722950,2010,7,8,62.1,66.9,60.1,0.0,LOS ANGELES INTERNATIONAL AIR,2010-07-08
722950,2010,7,17,68.3,79.0,63.0,0.0,LOS ANGELES INTERNATIONAL AIR,2010-07-17
