stn,year,mo,da,temp,max,min,prcp,name,Year/Month/Day
725090,1970,6,1,74.6,88.0,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-01
725090,1970,1,1,22.0,28.0,16.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-01
725090,1970,1,2,22.7,28.0,19.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-02
725090,1970,1,5,22.5,30.0,18.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-05
725090,1970,1,6,26.8,30.9,24.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-06
725090,1970,1,8,19.7,24.1,14.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-08
725090,1970,1,10,18.2,25.0,12.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-10
725090,1970,1,11,20.3,28.0,14.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-11
725090,1970,1,14,18.5,26.1,12.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-14
725090,1970,1,15,16.2,26.1,9.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-15
725090,1970,1,16,23.3,35.1,16.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-16
725090,1970,1,17,36.3,42.1,30.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-17
725090,1970,1,19,16.1,25.0,9.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-19
725090,1970,1,20,15.7,21.0,10.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-20
725090,1970,1,28,28.7,34.0,23.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-28
725090,1970,1,30,41.5,46.9,33.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-30
725090,1970,1,31,25.3,33.1,19.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-01-31
725090,1970,2,1,36.3,44.1,28.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-01
725090,1970,2,5,16.9,30.0,10.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-05
725090,1970,2,7,32.1,39.0,27.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-07
725090,1970,2,8,35.3,43.0,30.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-08
725090,1970,2,9,36.7,43.0,33.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-09
725090,1970,2,12,31.8,41.0,26.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-12
725090,1970,2,14,19.0,28.0,12.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-14
725090,1970,2,17,30.8,37.0,26.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-17
725090,1970,2,18,35.3,39.9,30.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-18
725090,1970,2,19,40.8,46.9,36.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-19
725090,1970,2,20,27.4,36.0,19.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-20
725090,1970,2,21,28.4,35.1,23.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-21
725090,1970,2,22,34.7,50.0,26.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-22
725090,1970,2,24,26.1,35.1,19.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-24
725090,1970,2,26,19.2,36.0,7.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-26
725090,1970,2,27,24.7,33.1,18.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-02-27
725090,1970,3,4,31.4,35.1,25.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-04
725090,1970,3,6,36.8,37.9,36.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-06
725090,1970,3,7,35.7,45.0,28.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-07
725090,1970,3,9,26.1,35.1,19.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-09
725090,1970,3,10,30.8,39.0,24.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-10
725090,1970,3,11,34.8,43.0,28.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-11
725090,1970,3,12,38.3,48.9,32.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-12
725090,1970,3,16,34.0,39.0,28.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-16
725090,1970,3,17,35.2,45.0,28.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-17
725090,1970,3,18,40.5,48.0,34.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-18
725090,1970,3,19,41.0,46.9,35.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-19
725090,1970,3,20,43.7,54.0,37.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-20
725090,1970,3,22,43.3,46.9,39.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-22
725090,1970,3,25,44.6,53.1,37.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-25
725090,1970,3,28,42.9,52.0,36.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-03-28
725090,1970,4,4,42.7,50.0,37.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-04
725090,1970,4,5,41.5,46.9,35.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-05
725090,1970,4,6,38.8,43.0,30.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-06
725090,1970,4,8,47.9,66.0,39.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-08
725090,1970,4,12,44.1,53.1,37.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-12
725090,1970,4,14,48.9,55.0,42.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-14
725090,1970,4,15,48.6,55.0,41.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-15
725090,1970,4,16,46.2,53.1,39.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-16
725090,1970,4,18,50.6,59.0,44.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-18
725090,1970,4,19,47.9,57.0,39.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-19
725090,1970,4,26,57.8,64.0,51.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-26
725090,1970,4,27,64.2,75.0,53.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-27
725090,1970,4,28,59.6,73.0,54.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-28
725090,1970,4,29,51.0,57.9,46.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-29
725090,1970,4,30,55.8,72.0,48.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-04-30
725090,1970,5,1,60.9,77.0,48.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-01
725090,1970,5,2,66.7,77.0,57.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-02
725090,1970,5,4,52.5,57.0,51.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-04
725090,1970,5,5,56.3,72.0,46.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-05
725090,1970,5,7,46.8,57.0,39.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-07
725090,1970,5,8,56.3,69.1,48.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-08
725090,1970,5,11,72.3,84.0,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-11
725090,1970,5,12,63.9,79.0,54.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-12
725090,1970,5,15,53.3,60.1,48.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-15
725090,1970,5,16,55.1,57.9,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-16
725090,1970,5,20,56.4,68.0,48.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-20
725090,1970,5,21,57.8,61.0,53.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-21
725090,1970,5,22,64.3,82.9,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-22
725090,1970,5,24,61.6,70.0,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-24
725090,1970,5,28,59.9,70.0,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-28
725090,1970,5,29,57.7,62.1,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-29
725090,1970,5,30,58.6,71.1,48.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-30
725090,1970,5,31,65.0,82.0,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-05-31
725090,1970,6,2,74.7,87.1,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-02
725090,1970,6,9,72.2,84.0,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-09
725090,1970,6,10,71.4,82.9,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-10
725090,1970,6,11,77.0,90.0,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-11
725090,1970,6,14,61.7,73.0,52.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-14
725090,1970,6,15,66.5,77.0,57.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-15
725090,1970,6,16,66.5,75.0,59.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-16
725090,1970,6,17,69.6,75.0,63.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-17
725090,1970,6,19,75.7,86.0,66.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-19
725090,1970,6,20,67.6,79.0,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-20
725090,1970,6,23,68.8,80.1,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-23
725090,1970,6,24,72.8,84.9,61.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-24
725090,1970,6,25,72.4,82.9,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-25
725090,1970,6,29,68.0,81.0,54.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-06-29
725090,1970,7,1,69.2,73.9,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-01
725090,1970,7,3,68.1,75.9,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-03
725090,1970,7,5,75.5,81.0,70.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-05
725090,1970,7,6,71.6,78.1,64.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-06
725090,1970,7,7,74.8,87.1,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-07
725090,1970,7,8,76.0,87.1,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-08
725090,1970,7,9,74.2,86.0,64.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-09
725090,1970,7,14,68.6,80.1,61.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-14
725090,1970,7,18,76.9,89.1,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-18
725090,1970,7,19,69.8,84.0,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-19
725090,1970,7,21,76.1,82.9,68.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-21
725090,1970,7,22,72.1,82.9,63.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-22
725090,1970,7,23,76.0,84.9,68.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-23
725090,1970,7,24,78.1,89.1,69.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-24
725090,1970,7,25,78.6,90.0,69.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-25
725090,1970,7,27,78.1,89.1,70.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-27
725090,1970,7,28,81.2,91.9,73.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-28
725090,1970,7,31,75.4,84.9,70.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-07-31
725090,1970,8,3,81.0,89.1,71.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-03
725090,1970,8,5,68.3,73.0,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-05
725090,1970,8,6,68.3,75.0,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-06
725090,1970,8,7,70.2,80.1,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-07
725090,1970,8,8,73.7,82.0,66.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-08
725090,1970,8,9,73.5,82.0,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-09
725090,1970,8,10,71.8,78.1,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-10
725090,1970,8,13,77.9,84.0,68.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-13
725090,1970,8,14,78.7,88.0,71.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-14
725090,1970,8,16,82.1,93.0,73.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-16
725090,1970,8,19,70.6,78.1,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-19
725090,1970,8,22,71.2,75.9,64.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-22
725090,1970,8,24,70.7,78.1,63.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-24
725090,1970,8,25,71.7,81.0,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-25
725090,1970,8,26,75.0,86.0,66.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-26
725090,1970,8,27,72.6,82.0,68.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-27
725090,1970,8,28,69.9,80.1,63.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-28
725090,1970,8,30,69.1,77.0,59.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-08-30
725090,1970,9,1,64.3,71.1,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-01
725090,1970,9,2,63.6,73.9,55.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-02
725090,1970,9,5,76.2,82.9,70.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-05
725090,1970,9,6,68.7,79.0,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-06
725090,1970,9,7,61.9,66.9,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-07
725090,1970,9,12,64.3,71.1,55.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-12
725090,1970,9,13,65.1,78.1,55.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-13
725090,1970,9,17,61.3,73.0,55.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-17
725090,1970,9,20,65.8,75.9,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-20
725090,1970,9,21,68.0,80.1,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-21
725090,1970,9,22,76.5,90.0,68.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-22
725090,1970,9,23,82.0,91.0,75.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-23
725090,1970,9,24,69.6,84.9,64.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-24
725090,1970,9,25,72.4,88.0,63.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-25
725090,1970,9,26,71.1,79.0,64.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-26
725090,1970,9,30,53.7,60.1,48.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-09-30
725090,1970,10,1,56.1,61.0,53.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-01
725090,1970,10,2,56.1,62.1,51.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-02
725090,1970,10,3,64.0,73.0,57.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-03
725090,1970,10,5,52.9,60.1,46.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-05
725090,1970,10,6,53.4,60.1,44.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-06
725090,1970,10,7,61.6,72.0,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-07
725090,1970,10,8,63.4,72.0,57.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-08
725090,1970,10,9,60.5,66.0,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-09
725090,1970,10,12,61.6,70.0,55.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-12
725090,1970,10,13,64.0,72.0,60.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-13
725090,1970,10,14,66.7,73.9,62.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-14
725090,1970,10,18,46.4,61.0,36.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-18
725090,1970,10,19,50.7,55.9,43.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-19
725090,1970,10,20,46.7,55.9,37.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-20
725090,1970,10,21,48.9,55.9,42.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-21
725090,1970,10,28,41.9,53.1,34.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-28
725090,1970,10,29,45.4,52.0,37.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-29
725090,1970,10,31,44.0,53.1,36.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-10-31
725090,1970,11,1,47.9,55.9,43.0,0.0,GEN E L LOGAN INTERNATIONAL A,1970-11-01
725090,1970,11,4,48.8,52.0,46.9,0.0,GEN E L LOGAN INTERNATIONAL A,1970-11-04
725090,1970,11,6,44.7,51.1,42.1,0.0,GEN E L LOGAN INTERNATIONAL A,1970-11-06
